name,olp_region
Ajax,central_east
Algoma—Manitoulin,north
Aurora—Oak Ridges—Richmond Hill,central_north
Barrie—Innisfil,central_north
Barrie—Springwater—Oro-Medonte,central_north
Bay of Quinte,central_east
Beaches—East York,toronto_ede
Brampton Centre,central_west
Brampton East,central_west
Brampton North,central_west
Brampton South,central_west
Brampton West,central_west
Brantford—Brant,south_central
Bruce—Grey—Owen Sound,south_west
Burlington,central_west
Cambridge,south_central
Carleton,east
Chatham-Kent—Leamington,south_west
Davenport,toronto_ede
Don Valley East,toronto_yns
Don Valley North,toronto_yns
Don Valley West,toronto_yns
Dufferin—Caledon,central_north
Durham,central_east
Eglinton—Lawrence,toronto_yns
Elgin—Middlesex—London,south_west
Essex,south_west
Etobicoke Centre,toronto_ede
Etobicoke North,toronto_ede
Etobicoke—Lakeshore,toronto_ede
Flamborough—Glanbrook,south_central
Glengarry—Prescott—Russell,east
Guelph,south_central
Haldimand—Norfolk,south_west
Haliburton—Kawartha Lakes—Brock,central_east
Hamilton Centre,south_central
Hamilton East—Stoney Creek,south_central
Hamilton Mountain,south_central
Hamilton West—Ancaster—Dundas,south_central
Hastings—Lennox and Addington,central_east
Humber River—Black Creek,toronto_yns
Huron—Bruce,south_west
Kanata—Carleton,east
Kenora—Rainy River,north
Kiiwetinoong,north
King—Vaughan,central_north
Kingston and the Islands,east
Kitchener Centre,south_central
Kitchener South—Hespeler,south_central
Kitchener—Conestoga,south_central
Lambton—Kent—Middlesex,south_west
Lanark—Frontenac—Kingston,east
Leeds—Grenville—Thousand Islands and Rideau Lakes,east
London North Centre,south_west
London West,south_west
London—Fanshawe,south_west
Markham—Stouffville,central_north
Markham—Thornhill,central_north
Markham—Unionville,central_north
Milton,central_west
Mississauga Centre,central_west
Mississauga East—Cooksville,central_west
Mississauga—Erin Mills,central_west
Mississauga—Lakeshore,central_west
Mississauga—Malton,central_west
Mississauga—Streetsville,central_west
Mushkegowuk—James Bay,north
Nepean,east
Newmarket—Aurora,central_north
Niagara Centre,south_central
Niagara Falls,south_central
Niagara West,south_central
Nickel Belt,north
Nipissing,north
Northumberland—Peterborough South,central_east
Oakville,central_west
Oakville North—Burlington,central_west
Orléans,east
Oshawa,central_east
Ottawa Centre,east
Ottawa South,east
Ottawa West—Nepean,east
Ottawa—Vanier,east
Oxford,south_west
Parkdale—High Park,toronto_ede
Parry Sound—Muskoka,central_north
Perth—Wellington,south_west
Peterborough—Kawartha,central_east
Pickering—Uxbridge,central_east
Renfrew—Nipissing—Pembroke,east
Richmond Hill,central_north
Sarnia—Lambton,south_west
Sault Ste. Marie,north
Scarborough Centre,toronto_yns
Scarborough North,toronto_yns
Scarborough Southwest,toronto_yns
Scarborough—Agincourt,toronto_yns
Scarborough—Guildwood,toronto_yns
Scarborough—Rouge Park,toronto_yns
Simcoe North,central_north
Simcoe—Grey,central_north
Spadina—Fort York,toronto_ede
St. Catharines,south_central
Stormont—Dundas—South Glengarry,east
Sudbury,north
Thornhill,central_north
Thunder Bay—Atikokan,north
Thunder Bay—Superior North,north
Timiskaming—Cochrane,north
Timmins,north
Toronto Centre,toronto_ede
Toronto—Danforth,toronto_ede
Toronto—St. Paul's,toronto_ede
University—Rosedale,toronto_ede
Vaughan—Woodbridge,central_north
Waterloo,south_central
Wellington—Halton Hills,south_central
Whitby,central_east
Willowdale,toronto_yns
Windsor West,south_west
Windsor—Tecumseh,south_west
York Centre,toronto_yns
York South—Weston,toronto_yns
York—Simcoe,central_north
